nom,format,episodes,studio,annee,note,popularite,rang,tags,lien,periode
Sailor Moon S,TV,38,Toei Animation,1994,3.845,11700,1659,comedy;fantasy;magical girl;romance;shoujo;contemporary fantasy;elemental powers;family friendly;henshin heroes;magic;monster-of-the-week;sentai;tokusatsu;urban fantasy;based on a manga,https://www.anime-planet.com/anime/sailor-moon-s,1907-2001
Toward the Terra TV,TV,24,"Tokyo Kids, Minami Machi Bugyousho",2007,3.845,3115,1660,action;drama;sci fi;shounen;dystopia;outer space;psychic powers;superpowers;based on a manga,https://www.anime-planet.com/anime/toward-the-terra-tv,2002-2011
Tian Huan Zhan Shen,Web,80,,2021,3.845,74,1661,action;fantasy;chinese animation;historical;martial arts;short episodes,https://www.anime-planet.com/anime/tian-huan-zhan-shen,2017-2023
Tales of Symphonia the Animation: Tethe'alla Episode,OVA,4,ufotable,2010,3.845,1767,1662,action;adventure;fantasy;magic;swordplay;based on a video game,https://www.anime-planet.com/anime/tales-of-symphonia-the-animation-tethealla-episode,2002-2011
Persona 4 the Animation: No One is Alone,DVD Special,1,AIC ASTA,2012,3.845,2331,1663,action;fantasy;contemporary fantasy;based on a video game,https://www.anime-planet.com/anime/persona-4-the-animation-no-one-is-alone,2012-2016
Kakegurui XX,TV,12,MAPPA,2019,3.845,14386,1664,shounen;gambling;high stakes games;mind games;psychological;school life;based on a manga,https://www.anime-planet.com/anime/kakegurui-xx,2017-2023
Mobile Suit Gundam: Char's Counterattack,Movie,1,Sunrise,1988,3.845,2829,1665,mecha;sci fi;real robot;rivalries;based on a novel,https://www.anime-planet.com/anime/mobile-suit-gundam-chars-counterattack,1907-2001
Date A Bullet: Dead or Bullet,Movie,1,Geek Toys,2020,3.845,879,1666,action;battle royale;high stakes games;person in a strange world;play or die;pvp;supernatural;based on a light novel,https://www.anime-planet.com/anime/date-a-bullet-dead-or-bullet,2017-2023
Zhen Dao Ge,Web,12,,2021,3.845,19,1667,action;adventure;chinese animation;martial arts,https://www.anime-planet.com/anime/zhen-dao-ge,2017-2023
Penguin Highway,Movie,1,Studio Colorido,2018,3.845,1074,1668,fantasy;mystery;sci fi;birds;family friendly;penguins;based on a novel,https://www.anime-planet.com/anime/penguin-highway,2017-2023
Obey Me! Devildom Family Trip!,Web,1,Colored Pencil Animation Japan,2021,3.844,173,1669,comedy;fantasy;demons;shorts;based on a mobile game;based on an otome game,https://www.anime-planet.com/anime/obey-me-devildom-family-trip,2017-2023
Dragon Ball Z Special 1: Bardock - The Father of Goku,TV Special,1,Toei Animation,1990,3.844,15240,1670,action;shounen;aliens;hand to hand combat;martial arts;non-human protagonists;superpowers;based on a manga,https://www.anime-planet.com/anime/dragon-ball-z-special-1-bardock-the-father-of-goku,1907-2001
Tonari no Seki-kun: The Master of Killing Time,TV,21,Shin-Ei Animation,2014,3.844,6865,1671,comedy;seinen;gag;school life;short episodes;based on a manga,https://www.anime-planet.com/anime/tonari-no-seki-kun-the-master-of-killing-time,2012-2016
Smile Down the Runway,TV,12,Ezo'la,2020,3.844,2059,1672,shounen;animeism;fashion;school life;based on a manga,https://www.anime-planet.com/anime/smile-down-the-runway,2017-2023
